Sample	Date of Collection	Pangolin	Month	Week
ME-CDC-ASC210358626	2021-10-11	AY.3	2021-10	2021-41
ME-CDC-ASC210344833	2021-10-11	AY.100	2021-10	2021-41
ME-CDC-ASC210344848	2021-10-11	AY.100	2021-10	2021-41
ME-CDC-ASC210345037	2021-10-11	AY.25	2021-10	2021-41
ME-CDC-ASC210357664	2021-10-11	AY.103	2021-10	2021-41
ME-CDC-ASC210357663	2021-10-11	AY.44	2021-10	2021-41
ME-CDC-ASC210357662	2021-10-11	AY.25	2021-10	2021-41
ME-CDC-ASC210357661	2021-10-11	AY.25	2021-10	2021-41
ME-CDC-ASC210357660	2021-10-11	AY.44	2021-10	2021-41
ME-CDC-ASC210358442	2021-10-11	AY.103	2021-10	2021-41
ME-CDC-ASC210357815	2021-10-11	AY.26	2021-10	2021-41
